a,b,ASN0,ANSS0
0.963,3.302,7.1984,470.4677
0.972,3.247,6.9256,398.9761
0.943,2.854,6.1714,111.5528
0.959,2.913,5.9257,139.2733
0.931,2.964,6.6032,149.9652
0.948,3.032,6.4566,192.7513
0.928,3.061,7.1025,206.3325
0.921,3.132,7.4406,254.3744
0.915,3.148,7.5863,258.244
0.951,3.206,7.0449,334.3859
0.938,3.261,7.7416,394.096
0.978,3.297,7.0131,468.8485
0.902,2.861,6.3902,113.3167
0.911,2.891,6.4496,118.6496
0.891,2.956,6.9511,145.7782
0.898,3.025,7.165,181.9819
0.881,3.051,7.5625,189.3827
0.878,3.114,7.9049,236.6312
0.87,3.163,8.226,269.745
0.861,3.198,8.5649,301.8991
0.856,3.253,8.8165,358.642
0.867,3.304,8.8281,425.796
0.85,2.889,7.0903,113.7812
0.855,2.948,7.3596,138.6325
0.846,2.991,7.7699,160.3843
0.815,3.041,8.5384,174.7899
0.838,3.091,8.5813,203.4119
0.826,3.148,8.9966,248.7875
0.831,3.201,9.3031,294.8026
0.845,3.243,9.2131,343.3884
0.793,2.846,7.2222,102.6903
0.786,2.917,8.2412,121.0388
0.771,2.952,8.6425,134.2495
0.764,2.997,9.207,151.4227
0.758,3.049,9.7053,174.4812
0.778,3.096,9.4496,203.9242
0.781,3.153,9.8476,242.5483
0.799,3.218,9.8921,308.9968
0.753,3.311,11.4016,403.1641
0.751,2.846,8.3535,98.5859
0.746,2.897,8.7551,111.6483
0.726,2.961,10.2167,127.3477
0.748,3.274,11.2826,359.1173
0.738,3.137,10.6644,229.2402
0.721,3.165,12.0089,231.2304
0.716,3.182,12.3056,251.7551
0.731,3.238,11.6254,317.7429
0.694,2.974,11.09,128.5519
0.686,2.984,11.4882,135.1349
0.822,3.367,10.1592,504.527
0.693,3.396,14.6446,493.8114
0.756,3.221,10.9574,300.9276
0.719,3.321,13.236,386.5295
0.671,3.227,14.8895,270.5837
0.603,3.116,16.0616,185.721
0.642,3.192,15.4687,236.4834
0.783,3.214,10.17881,303.6729
0.708,3.321,13.3805,395.2015
0.718,3.274,12.9074,336.8863
0.802,3.296,10.2302,407.9523
0.705,3.304,13.5933,364.1529
0.728,3.124,11.5246,210.5823
0.7152,3.047,11.0675,162.4859
0.717,3.057,11.2514,165.4026
0.801,3.186,9.6511,280.6405
0.806,3.206,9.5558,300.9406
0.864,3.173,8.4708,297.657
0.854,3.193,8.6063,298.554
0.722,3.107,11.5337,192.2261
0.712,3.117,11.82,203.592
0.702,3.137,12.3428,213.1443
0.695,3.081,12.1886,177.4976
0.685,3.111,12.5752,197.3293
0.662,3.031,13.2861,144.1196
0.662,3.091,13.7766,172.7323
0.652,3.177,14.8567,227.8225
0.842,3.207,8.9947,306.151
0.616,3.217,16.7104,256.0154
0.604,3.146,16.4507,199.8083
0.711,3.186,12.4761,248.09
0.682,3.116,12.6732,199.4168
0.561,3.136,17.9827,188.9344
0.553,3.146,18.7102,192.7629
0.548,3.401,21.445,438.0788
0.528,3.324,23.9337,313.5488
0.519,3.261,24.0405,258.7013
0.487,3.225,25.5388,228.2143
0.518,3.341,25.0147,333.3197
0.479,3.195,25.8677,205.4632
0.594,3.186,17.4523,227.2113
0.621,3.284,17.1627,306.4998
0.511,3.217,23.6468,224.0457
0.496,2.995,21.5256,110.4416
0.641,3.081,14.2841,169.2776
0.617,3.211,16.851,248.463
0.581,2.941,14.8066,108.1098
0.613,3.321,17.9342,350.1202
0.634,3.286,16.6142,315.1876
0.509,3.046,21.6133,130.7422
0.536,3.385,22.0239,426.4972
0.564,2.956,15.4632,112.7636
0.541,3.317,21.2459,338.8052
0.483,3.067,23.6031,138.8524
0.526,3.391,24.8799,398.306
0.605,3.381,18.686,432.6021
0.473,3.189,25.8364,199.2517
0.527,3.032,20.0026,128.6299
0.485,3.319,27.0656,305.3743
0.659,3.337,16.239,383.8103
0.571,3.127,17.4094,187.9914
0.579,3.041,16.0465,142.9623
0.548,3.258,20.099,277.1304
0.471,3.019,23.296,120.6226
0.668,3.318,15.6628,359.9408
0.518,3.419,25.9431,424.2342
0.648,3.371,16.9166,422.5098
0.495,3.391,27.2646,389.3523
0.464,3.315,28.6311,289.6345
0.576,3.423,20.2824,492.4722
0.503,3.261,25.4719,252.5122
0.457,3.408,30.0745,404.977
0.471,3.395,29.2621,386.583
0.651,3.401,16.9456,462.1308
0.526,3.427,24.9658,446.7634
0.467,3.289,27.9513,267.7353
0.487,3.246,26.0927,239.8515
0.604,3.419,18.9409,492.7823
0.469,3.417,29.4452,411.5811
0.697,3.301,13.8843,359.731
0.559,3.376,20.8815,409.2153
0.684,3.383,14.6404,465.588
0.493,3.392,27.66104,389.5835
0.696,3.244,13.4491,297.7365
0.513,3.341,25.3895,333.582
0.494,3.406,27.785,397.727
0.466,3.111,25.0832,155.6884
0.474,3.375,28.2622,364.727
0.482,3.025,22.6572,120.9165
0.682,3.279,14.1346,326.902
0.455,3.095,25.6728,147.6397
0.735,3.381,12.156,513.2685
0.516,3.447,26.3025,465.3861
0.602,3.184,16.9133,228.6348
0.638,3.267,16.331,294.7575
0.467,3.426,29.87,431.139
0.452,3.026,24.5595,119.0009
0.466,3.091,24.5959,145.7791
0.497,3.415,27.3038,414.167
